price,areaWithType,bedRoom,bathroom,balcony,facing,property_type,floor_nbr,additional_room_count,furnishDetails_count,features_count,Environment,Safety,Lifestyle,Connectivity,Green Area,Amenities,Management,Construction,nearbyLocations_count,agePossession_avg,prop_location,total_area_in_sqft,rate_per_sqft
4500000.0,Carpet area: 900 (83.61 sq.m.),2,2,1,West,flat,4.0,0.0,18.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,50,3.0, Krishna Colony,9687.51,5000.0
5000000.0,Carpet area: 650 (60.39 sq.m.),2,2,1,West,flat,1.0,0.0,18.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,49,10.0, Ashok Vihar,6996.53,7692.0
4000000.0,Carpet area: 595 (55.28 sq.m.),2,2,3,undetermined,flat,12.0,0.0,0.0,8.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,6,0.5, Sohna,6404.52,6722.0
14700000.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,undetermined,flat,2.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0, Sector 61 Gurgaon,12916.68,12250.0
7000000.0,Super Built up area 1345(124.95 sq.m.),2,2,3,undetermined,flat,5.0,1.0,0.0,0.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,11,0.0, Sector 92 Gurgaon,10858.08,5204.0
4100000.0,Built Up area: 654 (60.76 sq.m.),2,2,3,undetermined,flat,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0, Sector 36 Gurgaon,5983.65,6269.0
20000000.0,Super Built up area 1500(139.35 sq.m.),3,3,3,undetermined,flat,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5, Dwarka Expressway Gurgaon,12109.39,13333.0
18000000.0,Carpet area: 2290 (212.75 sq.m.),3,4,3,undetermined,flat,14.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,4.0,4.5,5.0,5.0,14,0.5, Sector 104 Gurgaon,24649.33,7860.0
11000000.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,4,3,North-East,flat,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0, Sector 88B Gurgaon,12351.58,8148.0
47500000.0,Built Up area: 2813 (261.34 sq.m.),3,3,2,undetermined,flat,31.0,1.0,0.0,15.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,10,0.0, Sector 78 Gurgaon,25737.02,16885.0
9600000.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,undetermined,flat,1.0,0.0,0.0,8.0,4.5,4.5,4.0,3.5,0.0,0.0,0.0,0.0,7,0.0, Sector 81 Gurgaon,11571.19,9767.0
2900000.0,Carpet area: 519 (48.22 sq.m.),2,2,1,undetermined,flat,4.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,5,3.0, Sohna,5586.46,5587.0
13500000.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,undetermined,flat,4.0,0.0,18.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,4,3.0, Sector 79 Gurgaon,20935.79,6940.0
9500000.0,Super Built up area 1385(128.67 sq.m.),2,2,3,South-East,flat,3.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0, Sector 33 Gurgaon,11181.0,6859.0
7000000.0,Super Built up area 1300(120.77 sq.m.),2,2,3,undetermined,flat,13.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,10,0.5, Sector 90 Gurgaon,10494.8,5384.0
39500000.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,undetermined,flat,25.0,0.0,18.0,0.0,4.0,4.5,4.5,4.5,0.0,0.0,0.0,0.0,13,0.0, Sector 108 Gurgaon,21436.85,16859.0
22000000.0,Super Built up area 2100(195.1 sq.m.),3,3,3,North-East,flat,12.0,1.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5, Sector-33 Sohna,16953.14,10476.0
10100000.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,undetermined,flat,4.0,1.0,0.0,8.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,14,0.0, Sector 89 Gurgaon,11872.58,9156.0
18500000.0,Super Built up area 2150(199.74 sq.m.),3,4,3,North,flat,11.0,1.0,18.0,8.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,10,0.5, Sector 79 Gurgaon,17356.79,8604.0
8600000.0,Super Built up area 1103(102.47 sq.m.),2,3,3,undetermined,flat,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,14,0.0, Sector 89 Gurgaon,8904.44,7796.0
28500000.0,Super Built up area 2217(205.97 sq.m.),3,3,3,East,flat,10.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.5, Sector 113 Gurgaon,17897.67,12855.0
